#R1999J,v2.3,2022-03-24
#Label,Lead,Surface Area (mm^2)
LA1,1,5.024
LA2,2,5.024
LA3,3,5.024
LA4,4,5.024
LA5,5,5.024
LA6,6,5.024
LA7,7,5.024
LA8,8,5.024
LA9,9,5.024
LA10,10,5.024
LA11,11,5.024
LA12,12,5.024
LB1,13,5.024
LB2,14,5.024
LB3,15,5.024
LB4,16,5.024
LB5,17,5.024
LB6,18,5.024
LB7,19,5.024
LB8,20,5.024
LB9,21,5.024
LB10,22,5.024
LB11,23,5.024
LB12,24,5.024
LC1,25,5.024
LC2,26,5.024
LC3,27,5.024
LC4,28,5.024
LC5,29,5.024
LC6,30,5.024
LC7,31,5.024
LC8,32,5.024
LC9,33,5.024
LC10,34,5.024
LC11,35,5.024
LC12,36,5.024
LD1,37,5.024
LD2,38,5.024
LD3,39,5.024
LD4,40,5.024
LD5,41,5.024
LD6,42,5.024
LD7,43,5.024
LD8,44,5.024
LD9,45,5.024
LD10,46,5.024
LD11,47,5.024
LD12,48,5.024
LQ1,49,5.024
LQ2,50,5.024
LQ3,51,5.024
LQ4,52,5.024
LQ5,53,5.024
LQ6,54,5.024
LQ7,55,5.024
LQ8,56,5.024
RQ1,57,5.024
RQ2,58,5.024
RQ3,59,5.024
RQ4,60,5.024
RQ5,61,5.024
RQ6,62,5.024
RQ7,63,5.024
RQ8,64,5.024
RA1,65,5.024
RA2,66,5.024
RA3,67,5.024
RA4,68,5.024
RA5,69,5.024
RA6,70,5.024
RA7,71,5.024
RA8,72,5.024
RA9,73,5.024
RA10,74,5.024
RA11,75,5.024
RA12,76,5.024
RB1,77,5.024
RB2,78,5.024
RB3,79,5.024
RB4,80,5.024
RB5,81,5.024
RB6,82,5.024
RB7,83,5.024
RB8,84,5.024
RB9,85,5.024
RB10,86,5.024
RB11,87,5.024
RB12,88,5.024
RC1,89,5.024
RC2,90,5.024
RC3,91,5.024
RC4,92,5.024
RC5,93,5.024
RC6,94,5.024
RC7,95,5.024
RC8,96,5.024
RC9,97,5.024
RC10,98,5.024
RD1,99,5.024
RD2,100,5.024
RD3,101,5.024
RD4,102,5.024
RD5,103,5.024
RD6,104,5.024
RD7,105,5.024
RD8,106,5.024
RD9,107,5.024
RD10,108,5.024
RD11,109,5.024
RD12,110,5.024
LI1,111,5.024
LI2,112,5.024
LI3,113,5.024
LI4,114,5.024
LI5,115,5.024
LI6,116,5.024
LI7,117,5.024
LI8,118,5.024
LI9,119,5.024
LI10,120,5.024
LI11,121,5.024
LI12,122,5.024
LI13,123,5.024
LI14,124,5.024
LI15,125,5.024
LI16,126,5.024
LI17,127,5.024
LI18,128,5.024
LT1,129,5.024
LT2,130,5.024
LT3,131,5.024
LT4,132,5.024
LT5,133,5.024
LT6,134,5.024
LT7,135,5.024
LT8,136,5.024
LT9,137,5.024
LT10,138,5.024
LT11,139,5.024
LT12,140,5.024
LT13,141,5.024
LT14,142,5.024
LT15,143,5.024
LU1,145,5.024
LU2,146,5.024
LU3,147,5.024
LU4,148,5.024
LU5,149,5.024
LU6,150,5.024
LU7,151,5.024
LU8,152,5.024
LU9,153,5.024
LU10,154,5.024
LU11,155,5.024
LU12,156,5.024
LU13,157,5.024
LU14,158,5.024
LU15,159,5.024
RU1,161,5.024
RU2,162,5.024
RU3,163,5.024
RU4,164,5.024
RU5,165,5.024
RU6,166,5.024
RU7,167,5.024
RU8,168,5.024
RU9,169,5.024
RU10,170,5.024
RU11,171,5.024
RU12,172,5.024
RU13,173,5.024
RU14,174,5.024
RU15,175,5.024
RT1,177,5.024
RT2,178,5.024
RT3,179,5.024
RT4,180,5.024
RT5,181,5.024
RT6,182,5.024
RT7,183,5.024
RT8,184,5.024
RT9,185,5.024
RT10,186,5.024
RT11,187,5.024
RT12,188,5.024
RT13,189,5.024
RT14,190,5.024
RT15,191,5.024
LK1,193,5.024
LK2,194,5.024
LK3,195,5.024
LK4,196,5.024
LK5,197,5.024
LK6,198,5.024
LK7,199,5.024
LK8,200,5.024
LK9,201,5.024
LK10,202,5.024
LK11,203,5.024
LK12,204,5.024
LK13,205,5.024
LK14,206,5.024
LK15,207,5.024
LK16,208,5.024
LK17,209,5.024
LK18,210,5.024
RI1,211,5.024
RI2,212,5.024
RI3,213,5.024
RI4,214,5.024
RI5,215,5.024
RI6,216,5.024
RI7,217,5.024
RI8,218,5.024
RI9,219,5.024
RI10,220,5.024
RI11,221,5.024
RI12,222,5.024
RI13,223,5.024
RI14,224,5.024
RI15,225,5.024
RI16,226,5.024
RI17,227,5.024
RI18,228,5.024
RK1,229,5.024
RK2,230,5.024
RK3,231,5.024
RK4,232,5.024
RK5,233,5.024
RK6,234,5.024
RK7,235,5.024
RK8,236,5.024
RK9,237,5.024
RK10,238,5.024
RK11,239,5.024
RK12,240,5.024
RK13,241,5.024
RK14,242,5.024
RK15,243,5.024
RK16,244,5.024
RK17,245,5.024
RK18,246,5.024
RP1,247,5.024
RP2,248,5.024
RP3,249,5.024
RP4,250,5.024
RP5,251,5.024
RP6,252,5.024
RP7,253,5.024
RP8,254,5.024
